,National Administrator,Account Type,Account Holder Name,Installation/Aircraft ID,Installation Name/Aircraft Operator Code*,Company Registration No,Permit/Plan ID,Permit/Plan Date,Main Activity Type,Latest Compliance Code
23,Austria,Operator Holding Account,F.M. Hämmerle Textil Produktion und Vertrieb GmbH,37,F.M. Hämmerle Dornbirn,FN 334036 f,ICH203,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
24,Austria,Operator Holding Account,Energie Steiermark Wärme GmbH,108,Energie Steiermark - FHKW Thondorf,FN 57546 b,EFE038,2004-01-01,Combustion of fuels,A
25,Austria,Operator Holding Account,FunderMax GmbH,5,FunderMax Wr. Neudorf,FN 90081 y,ICH113,2004-01-02,Combustion of fuels,A
26,Austria,Operator Holding Account,Ziegelwerk Danreiter GmbH & Co KG,3,Ziegelwerk Danreiter Ried im Innkreis,FN 18162 i,IZI155,2004-01-01,Manufacture of ceramics,A
27,Austria,Operator Holding Account,Patheon Austria GmbH & CoKG,59,DSM Fine Chemicals Austria Linz,FN 200540 m,ICH112,2006-03-29,Combustion of fuels,A
28,Austria,Operator Holding Account,Metadynea Austria GmbH,53,Metadynea Austria - Krems,FN 189206 w,ICH108,2005-08-08,Production of bulk chemicals,A
29,Austria,Operator Holding Account,M. Kaindl GmbH,69,Kaindl Holzindustrie Wals,FN567823i,IHO192,2004-01-01,Combustion of fuels,A
30,Austria,Operator Holding Account,Wienerberger Österreich GmbH,4,Wienerberger Blindenmarkt,FN 94684 t,IZI146-1,2004-01-02,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",C
31,Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,76,KW Timelkam III,FN 291377 x,EEW003,2004-01-02,Combustion of fuels,A
32,Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,78,Energie AG OÖ HKW Kirchdorf,FN 291377 x,EFE017,2004-01-02,Combustion of fuels,A
33,Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,79,Energie AG Kraftwerk Riedersbach,FN 291377 x,EEW001,2004-01-01,Combustion of fuels,A
34,Austria,Operator Holding Account,Kirchdorfer Zementwerk Hofmann GmbH,91,Kirchdorfer Zementwerk Hofmann GmbH,FN 121253 p,IZE074,2004-01-01,Production of cement clinker,A
35,Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,80,Energie AG Kraftwerk Timelkam II,FN 291377 x,EEW002,2004-01-01,Combustion of fuels,A
36,Austria,Operator Holding Account,Energie-Contracting Steyr GmbH,81,ENERGIE-Contracting Steyr GmbH,FN 209561 d,IMS200,2005-04-07,Combustion of fuels,A
37,Austria,Operator Holding Account,Profibaustoffe Austria GmbH,42,Ernstbrunner Kalktechnik Ernstbrunn,FN 69279 g,IKA118,2005-04-01,"Production of lime, or calcination of dolomite/magnesite",A
38,Austria,Operator Holding Account,Lafarge Zementwerke GmbH,61,Lafarge Perlmooser Retznei,FN 346878s,IZE073,2004-01-01,Production of cement clinker,A
39,Austria,Operator Holding Account,WIEN ENERGIE GmbH,18,Wien Energie - FHKW Süd Inzersdorf,FN 215854h,EFE043,2004-12-22,Combustion of fuels,A
40,Austria,Operator Holding Account,Lafarge Zementwerke GmbH,63,Lafarge Perlmooser Mannersdorf,FN 346878s,IZE072,2004-01-01,Production of cement clinker,A
41,Austria,Operator Holding Account,WIEN ENERGIE GmbH,19,Wien Energie - FHKW Kagran,FN 215854h,EFE044,2004-12-23,Combustion of fuels,A
42,Austria,Operator Holding Account,Lias Österreich GesmbH,121,Lias Fehring,FN 200408 v,IZI201,2004-01-02,Manufacture of ceramics,A
43,Austria,Operator Holding Account,WIEN ENERGIE GmbH,20,Wien Energie - FW Leopoldau,FN 215854h,EFE045,2004-12-29,Combustion of fuels,A
44,Austria,Operator Holding Account,LINZ STROM GAS WÄRME GmbH,43,Linz Strom FHKW Mitte,FN 199533 g,EEW021,2004-01-01,Combustion of fuels,A
45,Austria,Operator Holding Account,WIEN ENERGIE GmbH,21,FHKW Arsenal Fernwärme Wien,FN 215854h,EFE046,2004-12-30,Combustion of fuels,A
46,Austria,Operator Holding Account,LINZ STROM GAS WÄRME GmbH,46,Linz Strom FHKW Süd,FN 199533 g,EEW023,2004-01-01,Combustion of fuels,A
47,Austria,Operator Holding Account,LINZ STROM GAS WÄRME GmbH,45,FHKW Dornach Linz AG Linz,FN 199533 g,EFE036,2004-01-02,Combustion of fuels,A
48,Austria,Operator Holding Account,WIEN ENERGIE GmbH,122,Wien Energie - FHKW Spittelau,FN 215854h,EFE042,2004-12-27,Combustion of fuels,A
49,Austria,Operator Holding Account,OMV Downstream GmbH,26,OMV Raffinerie Schwechat,FN 185462 p,EMV061,2004-01-02,Refining of mineral oil,A
50,Austria,Operator Holding Account,OMV Austria Exploration & Production GmbH,27,OMV AUT Gasstation Aderklaa II,FN 241929 d,EMV059,2004-01-02,Combustion of fuels,A
51,Austria,Operator Holding Account,OMV Austria Exploration & Production GmbH,28,OMV AUT Gasstation Aderklaa I,FN 241929 d,EMV060,2004-01-02,Combustion of fuels,A
52,Austria,Operator Holding Account,AustroCel Hallein GmbH,120,Austrocel Hallein GmbH,FN 184407 m,IPA089,2004-01-01,Production of pulp,A
53,Austria,Operator Holding Account,Smurfit Kappa Nettingsdorf AG & Co KG,87,Smurfit Kappa Nettingsdorf,FN 200265 h,IPA090,2004-01-01,Production of paper or cardboard,A
54,Austria,Operator Holding Account,Herbert Pexider Gesellschaft m.b.H.,109,Herbert Pexider GmbH Teufenbach,FN 81176 b,IZI137,2004-01-01,Manufacture of ceramics,A
55,Austria,Operator Holding Account,Constantia Teich GmbH,62,Constantia Teich GmbH - Weinburg,FN 92993 f,IMS199,2004-01-01,Combustion of fuels,A
56,Austria,Operator Holding Account,"Salzburg AG für Energie, Verkehr und Telekommunikation",32,Salzburg AG FHKW Mitte,FN 51350 s,EEW024,2004-01-01,Combustion of fuels,A
57,Austria,Operator Holding Account,"Salzburg AG für Energie, Verkehr und Telekommunikation",33,Salzburg AG FHKW Nord,FN 51350 s,EEW025,2004-01-01,Combustion of fuels,A
58,Austria,Operator Holding Account,"Salzburg AG für Energie, Verkehr und Telekommunikation",34,Salzburg AG FHKW West Salzburg,FN 51350 s,EEW26-1,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
59,Austria,Operator Holding Account,"Salzburg AG für Energie, Verkehr und Telekommunikation",35,Salzburg AG HW Süd Salzburg,FN 51350 s,EFE035,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
60,Austria,Operator Holding Account,Wienerberger Österreich GmbH,65,Wienerberger Gleinstätten,FN 94684 t,IZI131,2004-01-01,Manufacture of ceramics,A
61,Austria,Operator Holding Account,"Salzburg AG für Energie, Verkehr und Telekommunikation",36,Salzburg AG LKH Salzburg,FN 51350 s,EFE049,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
62,Austria,Operator Holding Account,SANDOZ GmbH,6,Sandoz Werk Kundl,FN 50587 v,ICH106,2004-01-01,Combustion of fuels,A
63,Austria,Operator Holding Account,Wienerberger Österreich GmbH,66,Wienerberger Pinkafeld,FN 94684 t,IZI139,2004-01-01,Manufacture of ceramics,A
64,Austria,Operator Holding Account,Tondach Gleinstätten AG,67,Tondach Unterpremstätten,FN 46684 d,IZI135,2004-01-01,Manufacture of ceramics,A
65,Austria,Operator Holding Account,Semperit Reifen Gesellschaft m.b.H.,68,Semperit Reifen Traiskirchen,FN 83449 w,ICH111-1,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
66,Austria,Operator Holding Account,Papierfabrik Wattens GmbH & Co KG,82,Papierfabrik Wattens,FN 239808 i,IPA079,2004-01-01,Production of paper or cardboard,A
67,Austria,Operator Holding Account,Imerys Carbonates Austria GmbH,71,Imerys Carbonates - Ebensee,FN 107287 a,ICH110,2004-01-01,Combustion of fuels,A
68,Austria,Operator Holding Account,TIWAG-Next Energy Solutions GmbH,90,TIWAG - Lienz,FN 195282 f,EFE058,2004-01-01,Combustion of fuels,A
69,Austria,Operator Holding Account,Stadtwerke Klagenfurt AG,38,STW Klagenfurt FHKW Klagenfurt,FN 199234 t,EFE027,2004-01-02,Combustion of fuels,A
70,Austria,Operator Holding Account,Veitsch-Radex GmbH & Co OG,72,Veitsch-Radex Hochfilzen,FN 221994 m,IFE126,2004-01-01,"Production of lime, or calcination of dolomite/magnesite",A
71,Austria,Operator Holding Account,Energie Klagenfurt GmbH,39,Energie Klagenfurt GmbH Heizwerk Süd,FN 269898 i,EFE057,2004-01-02,Combustion of fuels,A
72,Austria,Operator Holding Account,Bioenergie Kufstein GmbH,89,Bioenergie Kufstein,FN 226474 a,EFE047,2004-01-02,Combustion of fuels,A
73,Austria,Operator Holding Account,Veitsch-Radex GmbH & Co OG,73,Veitsch-Radex Radenthein,FN 221994 m,IFE125,2004-01-01,Manufacture of ceramics,A
74,Austria,Operator Holding Account,Fernwärme St. Pölten GmbH,8,Fernwärme St. Pölten GmbH - FHKW Süd,FN 302796 p,EFE041,2004-01-02,Combustion of fuels,A
