,National Administrator,Account Type,Account Holder Name,Installation/Aircraft ID,Installation Name/Aircraft Operator Code*,Company Registration No,Permit/Plan ID,Permit/Plan Date,Main Activity Type,Latest Compliance Code
111,Austria,Operator Holding Account,voestalpine Stahl GmbH,14,Voestalpine Kokerei Linz,FN 78052 h,IVA063,2004-01-01,Production of coke,A
112,Austria,Operator Holding Account,Baumit GmbH,23,Kalkwerk Wopfing,FN 94709 d,IKA121,2004-01-02,"Production of lime, or calcination of dolomite/magnesite",A
113,Austria,Operator Holding Account,Baumit GmbH,24,Zementwerk Wopfing,FN 94709 d,IZE202,2004-01-02,Production of cement clinker,A
114,Austria,Operator Holding Account,Ziegelwerk Eberschwang Gesellschaft m.b.H.,40,Ziegelwerk Eberschwang,FN 113726 w,IZI158,2004-01-02,Manufacture of ceramics,A
115,Austria,Operator Holding Account,voestalpine Stahl GmbH,15,Voestalpine Kraftwerk Linz,FN 78052 h,IVA064,2004-01-01,Combustion of fuels,A
116,Austria,Operator Holding Account,Ziegelwerk Eder GmbH,52,Ziegelwerk Eder Peuerbach Bruck,FN 523428 y,IZI143,2004-01-02,Manufacture of ceramics,A
117,Austria,Operator Holding Account,Ziegelwerk Eder GmbH,54,Ziegelwerk Eder Weibern,FN 523428 y,IZI144,2004-01-02,Manufacture of ceramics,A
118,Austria,Operator Holding Account,Ziegelwerk Lizzi GmbH,30,Ziegelwerk Lizzi Erlach,FN 171326 a,IZI152,2004-01-01,Manufacture of ceramics,A
119,Austria,Operator Holding Account,Ziegelwerk Pichler Wels Gesellschaft m.b.H.,22,Ziegelwerk Pichler Wels,FN 283213 s,IZI145,2004-01-02,Manufacture of ceramics,A
120,Austria,Operator Holding Account,voestalpine Stahl GmbH,16,Voestalpine Stahl Linz,FN 78052 h,IVA062,2004-01-01,Production of pig iron or steel,A
121,Austria,Operator Holding Account,Vittorio Nicoloso,92,Ziegelwerk Nicoloso Pottenbrunn,110/2/Schu.- Gewerbeschein Mag. St. Pölten,IZI154,2004-01-02,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",A
122,Austria,Operator Holding Account,voestalpine Stahl GmbH,17,voestalpine Stahl GmbH - Kalkwerk Steyrling,FN 78052 h,IKA120,2004-01-01,"Production of lime, or calcination of dolomite/magnesite",A
123,Austria,Operator Holding Account,SENFTENBACHER Ziegelwerk Flotzinger GmbH & Co KG,88,Senftenbacher Ziegelwerk,FN 18093 h,IZI156,2004-01-01,Manufacture of ceramics,A
